"Integrated Scheme of School Education
                               ",,,,,,
Major Component,Sub Component,,,Activity Master,Norms,Criteria For Appraisal
Elementary Education,,,,,,
Access & Retention,Opening of New / Upgraded Schools,1,,Opening of New Schools  - NR (Elementary),,
,,,1.1,Composite School for Elementary,As per  State SORs/CPWD Rate (Which ever is less),
,,,1.2,Upgradation of PS to UPS (VI -VIII),As per  State SORs/CPWD Rate (Which ever is less),
,,2,,Opening of New Schools - Recurring (Elementary),,
,,,2.1,Recurring Cost - New Primary (Samagra),,
,,,2.2,Recurring Cost - New Upper Primary (Samagra),,
,,,2.3,Recurring Cost - Primary (Previous) (Samagra),,
,,,2.4,Recurring Cost - Upper Primary (Previous) (Samagra),,
,Netaji Subhas Chandra Avasiya Vidhyalaya,10,,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),,
,,,10.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,10.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,10.3,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,10.4,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
,,,10.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,10.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,102.1,Assessment at State level,Upto @Rs. 10 to 20 lakhs per district depending upon the size of the districts and states.,
,Training for In-service Teacher and Head Teachers,106,,In-Service Training (Elementary),,
,,,106.14,Training for Educational Administrators (Elementary),,
,Composite School Grant,118,,Annual Grant   (up to Highest Class VIII),,
,,,118.1,School Grant - (Enrol > 30 and  <=100 ),Rs. 25000/-(including at-least Rs 2500 for swachhta action plan) having enrolment <= 100,Enrollment as per UDISE +
,,,118.2,School Grant - (Enrol > 100 and <= 250 ),"Rs. 50,000/- (including at-leastRs. 5000 for swachhta action plan) having enrolment >100 and <=250",Enrollment as per UDISE +
,,,118.3,School Grant - (Enrol > 250 and <= 1000 ),"Rs. 75,000/- (including at-leastRs 7500 for swachhta action plan) having enrolment >250 and <=1000",Enrollment as per UDISE +
,,,118.4,School Grant - (Enrol > 1000),"Rs. 100,000/-(including at-leastRs. 10000 for swachhta action plan) ) having enrolment > 1000",Enrollment as per UDISE +
,,,118.5,School Grant (Enrol >= 1 and <= 30),"Rs. 10,000/- (including at-leastRs 1000 for swachhta action plan) having enrolment >1 and < 15",Enrollment as per UDISE +
,Library Grants,120,,Library Grant  (upto Highest Class VIII),,
,,,120.1,Upper Primary Schools,"Up to @ Rs. 13,000/- for Upper Primart Schools.",
,,,120.2,Primary Schools,"Up to @ Rs. 5,000/- for Primary Schools",
,Rastriya Aavishkar Abhiyan,124,,Rashtriya Aavishkar Abhiyaan  (Elementary),,
,,,124.1,Science Exhibition / Book Fair,Physical should be proposed  No. of Districts,
,,,124.2,Quiz Competition,Physical Number to be proposed per Student,
,,,124.3,Exposure visit outside State,Physical Number should proposed per Student,
,,,124.4,Science Kit,Physical should be proposed per School,
,,,124.5,Excursion Trip for Students within State,Physical Number should proposed per Student,
,,,124.6,Maths Kit,Physical Number  to be proposed per School,
,,,124.7,School Mentoring by Higher Education Institutes,Physical should be proposed No. of Schools,
,,,124.8,Participation in Science and Maths Olympiads,Physical Number to be proposed per Student,
,,,124.9,Formation of Science / Maths Clubs,Physical Number should proposed per School,
,ICT and Digital Initiatives,127,,Digital Hardware & Software (up to Highest Class VIII) - NR,,
,,,127.1,Digital Hardware & Software (Type - I) (Elementary),Rs. 6.40 lacs per school,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,127.2,Smart Classroom  (Type - II) (Elementary),Rs. 2.40 lacs per school,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,128,,Recurring Components (Digital Hardware & Software upto Highest Class VIII),,
,,,128.1,Recurring Cost (ICT & Digital Initiatives) (Option - I) (New),@Rs 2.40 lacs per school,
,,,128.2,Recurring Cost (ICT & Digital Initiatives) (Option - I) (Existing),@Rs 2.40 lacs per school,
,,,128.3,Smart Classroom - (Recuring)  (Type - II)  (Elementary) (New),@Rs 0.38 lacs per school,
,,,128.4,Smart Classroom - (Recuring)  (Type - II)  (Elementary) (Existing),@Rs 0.38 lacs per school,
,Early Childhood Care and Education (ECCE),133,,Pre- Primary (Non- Recurring),,
,,,133.1,Child Friendly Furniture,Norms for all Non-recurring Activities under Pre- Primary proposed must be limited to Rs. 1 Lakh Only,1. Avoid proposing schools which was already approved under Samagra Shiksha and whose construction was not completed. 2. Remove duplicates in the Existing Proposal 3. Must be Government Schools 
,,,133.2,BALA Features,Norms for all Non-recurring Activities under Pre- Primary proposed must be limited to Rs. 1 Lakh Only,1. Avoid proposing schools which was already approved under Samagra Shiksha and whose construction was not completed. 2. Remove duplicates in the Existing Proposal 3. Must be Government Schools 
,,,133.3,Out Door Play Materials,Norms for all Non-recurring Activities under Pre- Primary proposed must be limited to Rs. 1 Lakh Only,1. Avoid proposing schools which was already approved under Samagra Shiksha and whose construction was not completed. 2. Remove duplicates in the Existing Proposal 3. Must be Government Schools 
,,134,,Pre-Primary (Recurring),,
,,,134.4,TLM for Children,"upto Rs. 500/ per child for TLM, indigenous toys and games, play based activities per annum for pre-primary section in Govt. Schools",
,,,134.9,Support at Pre-Primary Level (New),Physical Should be proposed per School,1. Should not be approved in Previous Year 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School
,,,134.16,Support to Pre-Primary (Existing),Physical Should be proposed per School,
,Academic support through BRC/URC/CRC,135,,Provision for BRCs/URCs,,
,,,135.1,Financial Support  for 1 Accountant-cum-support staff,Every 50 schools in position. Physical should be proposed per Accountant,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,135.2,Financial Support  for 1 Data Entry Operator in position,Physical should be proposed per Data Entry Operator,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,135.3,Financial Support  for 1 MIS Coordinator in position,Physical should be proposed per MIS Cordinator,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,135.4,Financial Support  for 2 Resource Persons for CWSN,Physical should be proposed per Resource Person,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,135.5,Financial Support  for 6 Resource Persons at BRC,Physical should be proposed per Resource Person,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,135.6,Maintenance Grant,Physical Number  to be proposed per School,
,,,135.7,TLE/TLM Grant,Physical Should be proposed per School,
,,,135.8,"Meeting, TA",Physical Number  to be proposed per BRC / URC,
,,,135.9,Contingency Grant,Physical Number should proposed per BRC / URC,
,,,135.10,Replacement of Furniture / Computer Grant (Once in 5 years),Physical should be proposed per BRC / URC,
,,136,,Additional grant  to BRC / URC,,
,,,136.1,Additional grant  to BRC / URC,Physical Number should proposed per BRC/URC,
,,137,,Provisions for CRCs,,
,,,137.1,Furniture Grant / Computer,"Upto Rs 2 lakh for furniture, computer, TLE/TLM, recurring expenditure, meetings, contingencies etc",
,,,137.2,Maintenance Grant,Physical Number  to be proposed per School,
,,,137.3,TLM Grant,Physical Should be proposed per School,
,,,137.4,"Meeting, TA",Physical Number  to be proposed per CRC,
,,,137.5,Contingency Grant,Physical Number should proposed per CRC,
,,,137.6,Financial Support  for CRC Coordinator (one),Physical should be proposed per CRC Cordinator,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,137.7,Mobility Support for CRC(Strengthening of CRC),Physical Number  to be proposed per CRC,
Financial Support for Teachers,Financial Support for Teachers (HMs/Teachers),154,,Financial Support for Salary (Elementary),,
,,,154.10,Financial Support for Teacher Salary (Elementary),,
,Appointment of Language Teachers,161,,Language Teachers in NER (Hindi) (Elementary),,
,,,161.1,Hindi Teacher (New),Physical Number should proposed No. of  Teacher,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,161.2,Hindi Teacher (Previous),Physical Number should proposed No. of  Teacher,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,161.3,Billengual Teaching Learning Materials and Books,Rs. 150/- per Student.  Physical Number should proposed No. of Students,
,,,161.4,Training of Hindi Teacher (New),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
,,,161.5,Training of Hindi Teacher (Previous),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
,,162,,Language Teachers in States/UTs (Urdu) (Elementary),,
,,,162.1,Urdu Teacher (New),Physical Number should be proposed No. of Teacher,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,162.2,Urdu Teacher (Previous),Physical Number should be proposed No. of Teacher,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months)"
,,,162.3,Billengual Teaching Learning Materials and Books,Rs. 150/- per Student.  Physical Number should proposed No. of Students,
,,,162.4,Training of Urdu Teacher (New),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
,,,162.5,Training of Urdu Teacher (Previous),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),163,,KGBV - Type - I (NR) (New) (Classes VI -VIII),,
,,,163.1,Construction of Building (New),As per  State SORs/CPWD Rate (Which ever is less),
,,,163.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,163.3,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,163.4,Furniture/ Equipment (including kitchen),Physical Number should be proposed on no. of Girls Students,
,,,163.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
,,,163.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,164,,KGBV - Type - I (Recurring) (New) (Classes VI -VIII),,
,,,164.1,No. of KGBVs (New) - Model I,"Enter Physical No. of New KGBV proposed current year, Financial budget would be Zero for this activity",
,,,164.2,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,164.3,Stipend  per girl per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,164.4,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,164.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,164.6,1 Head Teacher,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,164.7,4 - 5 Full Time Teachers,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,164.8,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,164.9,3 Part Time Teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,164.10,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,164.11,"2 Support Staff (Accountant/ Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,164.12,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,164.13,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,164.14,Specific skill training per girl,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,164.15,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
,,,164.16,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,164.17,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,164.18,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,164.19,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,164.20,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,164.21,Provision of Rent,Physical Number should proposed per Girl Student per annum,
,,,164.22,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,164.23,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,164.24,Examination Fee,Physical Number should proposed per Girl Student,
,,165,,KGBV - Type - I (NR) (Previous Year) (Classes VI -VIII),,
,,,165.1,Construction of Building (Previous),As per  State SORs/CPWD Rate (Which ever is less),
,,,165.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,165.3,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,165.4,Furniture/ Equipment (including kitchen),Physical Number should be proposed on no. of Girls Students,
,,,165.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
,,,165.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,165.7,Replacement of bedding (once in 3 years),Physical should be proposed per Student,
,,166,,KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),,
,,,166.1,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,166.2,Stipend  per girl per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,166.3,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,166.4,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,166.5,1 Head Teacher,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,166.6,4 - 5 Full Time Teachers,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,166.7,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,166.8,3 Part Time Teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,166.9,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,166.10,"2 Support Staff (Accountant/ Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,166.11,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,166.12,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,166.13,Specific skill training per girl,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,166.14,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
,,,166.15,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,166.16,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,166.17,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,166.18,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,166.19,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,166.20,Provision of Rent,Physical Number should proposed per Girl Student per annum,
,,,166.21,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,166.22,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,166.23,Examination Fee,Physical Number should proposed per Girl Student,
,,167,,KGBV - Type - II (NR)  (New) (Classes VI -X),,
,,,167.1,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
,,,167.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,167.3,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,167.4,Furniture/ Equipment (including kitchen),Physical Number should be proposed on no. of Girls Students,
,,,167.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
,,,167.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,168,,KGBV - Type - II (Recurring) (New) (Classes VI -X),,
,,,168.1,No. of KGBVs (Upgraded to Model II) - Current Year,"Enter Physical No. of KGBV proposed for Upgradation to Model - II - current year, Financial budget would be Zero for this activity",
,,,168.2,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,168.3,Stipend per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,168.4,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,168.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,168.6,4 - 5 Fulltime teachers,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,168.7,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,168.8,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,168.9,1 Full time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,168.10,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,168.11,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,168.12,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,168.13,1 Head Teacher,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,168.14,Specific Skill training,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,168.15,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
,,,168.16,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,168.17,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,168.18,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,168.19,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,168.20,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,168.21,Provision of Rent,Physical Number should proposed per Girl Student per annum,
,,,168.22,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,168.23,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,168.24,Examination Fee,Physical Number should proposed per Girl Student,
,,169,,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),,
,,,169.1,Construction of building,As per  State SORs/CPWD Rate (Which ever is less),
,,,169.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,169.3,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,169.4,Furniture/ Equipment (including kitchen),Physical Number should be proposed on no. of Girls Students,
,,,169.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
,,,169.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,169.7,Replacement of bedding (once in 3 years),Physical should be proposed per Student,
,,170,,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),,
,,,170.1,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,170.2,Stipend per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,170.3,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,170.4,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,170.5,4 - 5 Fulltime teachers,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,170.6,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,170.7,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,170.8,1 Full time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,170.9,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,170.10,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,170.11,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,170.12,1 Head Teacher,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,170.13,Specific Skill training,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,170.14,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
,,,170.15,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,170.16,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,170.17,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,170.18,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,170.19,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
,,,170.20,Provision of Rent,Physical Number should proposed per Girl Student per annum,
,,,170.21,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
,,,170.22,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,170.23,Examination Fee,Physical Number should proposed per Girl Student,
,,171,,KGBV - Type - III (NR) (New)  (Classes VI -XII),,
,,,171.1,Construction of building (new) / Upgradation,As per  State SORs/CPWD Rate (Which ever is less),
,,,171.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,171.3,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,171.4,Furniture/ Equipment (including kitchen),Physical Number should be proposed on no. of Girls Students,
,,,171.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
,,,171.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,172,,KGBV - Type - III (Recurring) (New) (Classes VI -XII),,
,,,172.1,No. of KGBVs (Upgraded to Model III) - Current Year,"Enter Physical No. of KGBV proposed for Upgradation to Model - III - current year, Financial budget would be Zero for this activity",
,,,172.2,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,172.3,Stipend per girl per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,172.4,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,172.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,172.6,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,172.7,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,172.8,1 Full time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
