bo.,Scheme,Major Component,Sub Component,Activity Master ID,Activity Master Name,Activity Master Details ID,Activity Master Details,Norms,Criteria For Appraisal
549,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),166,KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),166.14,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
550,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),166,KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),166.15,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
551,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),166,KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),166.16,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
552,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),166,KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),166.17,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
553,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),166,KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),166.18,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
554,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),166,KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),166.19,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
555,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),166,KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),166.2,Provision of Rent,Physical Number should proposed per Girl Student per annum,
556,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),166,KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),166.21,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
557,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),166,KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),166.22,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
558,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),166,KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),166.23,Examination Fee,Physical Number should proposed per Girl Student,
559,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),167,KGBV - Type - II (NR)  (New) (Classes VI -X),,,,
560,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),167,KGBV - Type - II (NR)  (New) (Classes VI -X),167.1,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
561,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),167,KGBV - Type - II (NR)  (New) (Classes VI -X),167.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
562,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),167,KGBV - Type - II (NR)  (New) (Classes VI -X),167.3,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
563,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),167,KGBV - Type - II (NR)  (New) (Classes VI -X),167.4,Furniture/ Equipment (including kitchen),Physical Number should be proposed on no. of Girls Students,
564,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),167,KGBV - Type - II (NR)  (New) (Classes VI -X),167.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
565,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),167,KGBV - Type - II (NR)  (New) (Classes VI -X),167.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
566,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),,,,
567,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.1,No. of KGBVs (Upgraded to Model II) - Current Year,"Enter Physical No. of KGBV proposed for Upgradation to Model - II - current year, Financial budget would be Zero for this activity",
568,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.2,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
569,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.3,Stipend per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
570,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.4,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
571,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
572,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.6,4 - 5 Fulltime teachers,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
573,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.7,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
574,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.8,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
575,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.9,1 Full time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
576,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.1,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
577,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.11,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
578,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.12,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
579,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.13,1 Head Teacher,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
580,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.14,Specific Skill training,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
581,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.15,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
582,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.16,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
583,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.17,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
584,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.18,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
585,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.19,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
586,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.2,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
587,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.21,Provision of Rent,Physical Number should proposed per Girl Student per annum,
588,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.22,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
589,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.23,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
590,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.24,Examination Fee,Physical Number should proposed per Girl Student,
591,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),,,,
592,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.1,Construction of building,As per  State SORs/CPWD Rate (Which ever is less),
593,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
594,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.3,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
595,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.4,Furniture/ Equipment (including kitchen),Physical Number should be proposed on no. of Girls Students,
596,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
597,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
598,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.7,Replacement of bedding (once in 3 years),Physical should be proposed per Student,
599,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),,,,
600,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.1,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
601,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.2,Stipend per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
602,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.3,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
603,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.4,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
604,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.5,4 - 5 Fulltime teachers,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
605,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.6,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
606,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.7,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
607,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.8,1 Full time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
608,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.9,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
609,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.1,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
610,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.11,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
611,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.12,1 Head Teacher,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
612,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.13,Specific Skill training,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
613,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.14,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
614,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.15,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
615,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.16,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
616,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.17,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
617,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.18,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
618,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.19,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
619,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.2,Provision of Rent,Physical Number should proposed per Girl Student per annum,
620,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.21,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
621,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.22,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
622,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.23,Examination Fee,Physical Number should proposed per Girl Student,
623,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),171,KGBV - Type - III (NR) (New)  (Classes VI -XII),,,,
624,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),171,KGBV - Type - III (NR) (New)  (Classes VI -XII),171.1,Construction of building (new) / Upgradation,As per  State SORs/CPWD Rate (Which ever is less),
625,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),171,KGBV - Type - III (NR) (New)  (Classes VI -XII),171.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
626,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),171,KGBV - Type - III (NR) (New)  (Classes VI -XII),171.3,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
627,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),171,KGBV - Type - III (NR) (New)  (Classes VI -XII),171.4,Furniture/ Equipment (including kitchen),Physical Number should be proposed on no. of Girls Students,
628,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),171,KGBV - Type - III (NR) (New)  (Classes VI -XII),171.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
629,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),171,KGBV - Type - III (NR) (New)  (Classes VI -XII),171.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
630,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),,,,
631,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.1,No. of KGBVs (Upgraded to Model III) - Current Year,"Enter Physical No. of KGBV proposed for Upgradation to Model - III - current year, Financial budget would be Zero for this activity",
632,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.2,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
633,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.3,Stipend per girl per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
634,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.4,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
635,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
636,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.6,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
637,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.7,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
638,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.8,1 Full time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
639,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.9,"2 Support Staff - (Accountant / Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
640,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.1,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
641,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.11,1 Head Teacher/Principal,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
642,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.12,4 Full Time Teachers/Lecturer,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
643,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.13,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
644,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.14,Specific skill training per girl,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
645,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.15,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
646,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.16,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
647,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.17,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
648,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.18,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
649,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.19,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
650,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.2,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
651,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.21,Provision of Rent,Physical Number should proposed per Girl Student per annum,
652,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.22,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
653,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.23,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
