Sr. No,Scheme,Major Component,Sub Component,Activity Master Id,Activity Master Name,Activity Master Details ID,Activity Master Details Name,Norms / Unit Cost,Criteria For Appraisal
512,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.12,2 Assistant Cook,,
513,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.13,1 Head Teacher,,
514,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.14,Specific Skill training,,
515,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.15,Electricity / Water Charges,,
516,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.16,Medical care / Contingencies,,
517,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.17,Maintenance,,
518,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.18,Miscellaneous,,
519,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.19,Preparatory Camps,,
520,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.2,P.T.A.,,
521,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.21,Provision of Rent,,
522,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.22,Capacity Building,,
523,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.23,Physical / Self Defence,,
524,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),168,KGBV - Type - II (Recurring) (New) (Classes VI -X),168.24,Examination Fee,,
525,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.1,Construction of building,As per  State SORs/CPWD Rate (Which ever is less),
526,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),
527,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.3,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
528,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.4,Furniture/ Equipment (including kitchen),No Norms,
529,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.5,TLM and equipment including library books,No Norms,
530,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.6,Bedding,No Norms,
531,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.7,Replacement of bedding (once in 3 years),No Norms,
532,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),169,KGBV - Type - II (NR) (Previous Year) (Classes VI -X),169.21,Incinerator Machine,,
533,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.1,Food/Lodging per child per month,for KGBVs for classes VI to VIII of up to ? 80 lakh per annum,
534,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.2,Stipend per child per month,,
535,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.3,"Supplementary TLM, Stationery and other educational material",,
536,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.4,1 Warden,,
537,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.5,4 - 5 Fulltime teachers,,
538,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.6,2 Urdu Teachers,,
539,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.7,3 Part time teachers,,
540,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.8,1 Full time Accountant,,
541,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.9,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",,
542,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.1,1 Head Cook,,
543,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.11,2 Assistant Cook,,
544,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.12,1 Head Teacher,,
545,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.13,Specific Skill training,,
546,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.14,Electricity / Water Charges,,
547,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.15,Medical care / Contingencies,,
548,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.16,Maintenance,,
549,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.17,Miscellaneous,,
550,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.18,Preparatory Camps,,
551,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.19,P.T.A.,,
552,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.2,Provision of Rent,,
553,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.21,Capacity Building,,
554,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.22,Physical / Self Defence,,
555,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),170,KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),170.23,Examination Fee,,
556,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),171,KGBV - Type - III (NR) (New)  (Classes VI -XII),171.1,Construction of building (new) / Upgradation,As per  State SORs/CPWD Rate (Which ever is less),
557,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),171,KGBV - Type - III (NR) (New)  (Classes VI -XII),171.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),
558,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),171,KGBV - Type - III (NR) (New)  (Classes VI -XII),171.3,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
559,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),171,KGBV - Type - III (NR) (New)  (Classes VI -XII),171.4,Furniture/ Equipment (including kitchen),No Norms,
560,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),171,KGBV - Type - III (NR) (New)  (Classes VI -XII),171.5,TLM and equipment including library books,No Norms,
561,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),171,KGBV - Type - III (NR) (New)  (Classes VI -XII),171.6,Bedding,No Norms,
562,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.2,Food/Lodging per child per month,for KGBVs for classes VI to VIII of up to ? 1 Crore per annum,
563,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.3,Stipend per girl per month,,
564,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.4,"Supplementary TLM, Stationery and other educational material",,
565,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.5,1 Warden,,
566,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.6,2 Urdu Teachers,,
567,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.7,3 Part time teachers,,
568,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.8,1 Full time Accountant,,
569,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.9,"2 Support Staff - (Accountant / Assistant, Peon, Chowkidar)",,
570,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.1,1 Head Cook,,
571,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.11,1 Head Teacher/Principal,,
572,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.12,4 Full Time Teachers/Lecturer,,
573,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.13,2 Assistant Cook,,
574,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.14,Specific skill training per girl,,
575,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.15,Electricity / Water Charges,,
576,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.16,Medical care / Contingencies,,
577,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.17,Maintenance,,
578,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.18,Miscellaneous,,
579,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.19,Preparatory Camps,,
580,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.2,P.T.A.,,
581,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.21,Provision of Rent,,
582,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.22,Capacity Building,,
583,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.23,Physical / Self Defence,,
584,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),172,KGBV - Type - III (Recurring) (New) (Classes VI -XII),172.24,Examination Fee,,
585,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.1,Construction of building (new) / Upgradation,As per  State SORs/CPWD Rate (Which ever is less),
586,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),
587,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.3,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
588,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.4,Furniture/ Equipment (including kitchen),No Norms,
589,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.5,TLM and equipment including library books,No Norms,
590,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.6,Bedding,No Norms,
591,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.7,Replacement of bedding (once in 3 years),No Norms,
592,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),173,KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),173.31,Incinerator Machine,,
593,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.1,Food/Lodging per child per month,for KGBVs for classes VI to VIII of up to ? 1 Crore per annum,
594,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.2,Stipend per girl per month,,
595,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.3,"Supplementary TLM, Stationery and other educational material",,
596,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.4,1 Warden,,
597,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.5,2 Urdu Teachers,,
598,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.6,3 Part time teachers,,
599,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.7,1 Full time Accountant,,
600,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.8,"2 Support Staff - (Accountant / Assistant, Peon, Chowkidar)",,
601,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.9,1 Head Cook,,
602,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.1,2 Assistant Cook,,
603,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.11,1 Head Teacher/Principal,,
604,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.12,4 Full Time Teachers/Lecturer,,
605,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.13,Specific skill training per girl,,
606,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.14,Electricity / Water Charges,,
607,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.15,Medical care / Contingencies,,
608,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.16,Maintenance,,
609,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.17,Miscellaneous,,
610,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.18,Preparatory Camps,,
611,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.19,P.T.A.,,
612,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.2,Provision of Rent,,
613,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.21,Capacity Building,,
614,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.22,Physical / Self Defence,,
615,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),174,KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),174.23,Examination Fee,,
616,Elementary Education,Gender & Equity,Rani Laxmibai Atma Raksha Prashikshan,184,Rani Laxmibai Atma Raksha Prashikshan (up to Highest Class VIII),184.1,Rani Laxmibai Atma Raksha Prashikshan (Upto Class VIII),Provision for upto Rs. 5000 per month for 3 months per school.,
617,Elementary Education,Gender & Equity,Special Projects for Equity,187,Special Projects for Equity - (NR) (Elementary),187.1,Incinerator Machines (Elementary),No Norms,
618,Elementary Education,Gender & Equity,Special Projects for Equity,187,Special Projects for Equity - (NR) (Elementary),187.2,Vending Machines (Elementary),No Norms,
619,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),191,Student Oriented Components (Pre-Primary) (District Level)  (Recurring),191.1,Purchase/Development of  age appropriate TLMs,"Provision of up to ? 3500 per child, per year for children with special needs, studying in government, government aided and local body schools as per specific proposal. This will include aids and appliances, teaching material, etc",
620,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),191,Student Oriented Components (Pre-Primary) (District Level)  (Recurring),191.2,"Orientation of Principals, Pre-Primary teachers, Anganwadi workers, parents / guardians et",,
621,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),194,Student Oriented Components (Pre-Primary) (Block Level)  (Recurring),194.2,Gap Identification for OoSCwSN,,
622,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),194,Student Oriented Components (Pre-Primary) (Block Level)  (Recurring),194.3,"Assistive Devices,Equipments and TLM",,
623,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),194,Student Oriented Components (Pre-Primary) (Block Level)  (Recurring),194.4,Helper/Ayas/Attendant,,
624,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),196,Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),196.3,Escort Allowance,,
625,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),196,Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),196.4,Transport Allowance,,
626,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),196,Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),196.5,"Braille Stationary Material (Inc. Embossed Charts, globes etc)",,
627,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),196,Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),196.6,Providing Aids & Appliances,,
628,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),196,Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),196.7,Story tellers for CWSN including the usage of sign language,,
629,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),197,Stipend for Girls (Pre-Primary) (Recurring),197.1,Stipend for Girls,Upto Rs. 200 per month for 10 months,
630,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),198,Student Oriented Components (Upto Highest Class - VIII) (District Level)  (Recurring),198.1,Purchase/Development of instructional & Training materials,"Provision of up to ? 3500 per child, per year for children with special needs, studying in government, government aided and local body schools as per specific proposal. This ",
631,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),198,Student Oriented Components (Upto Highest Class - VIII) (District Level)  (Recurring),198.2,Sports & Exposure Visit,,
632,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),198,Student Oriented Components (Upto Highest Class - VIII) (District Level)  (Recurring),198.3,Therapeutic Services,,
633,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),198,Student Oriented Components (Upto Highest Class - VIII) (District Level)  (Recurring),198.4,"Orientation of Principals, Educational administrators, parents / guardians etc.",,
634,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),199,Student Oriented Components (Upto Highest Class - VIII) (Block Level)  (Recurring),199.2,Teacher Need Analysis for Training,,
635,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),199,Student Oriented Components (Upto Highest Class - VIII) (Block Level)  (Recurring),199.3,Gap Identification for OoSCwSN,,
636,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),199,Student Oriented Components (Upto Highest Class - VIII) (Block Level)  (Recurring),199.4,"Assistive Devices,Equipments and TLM",,
637,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),199,Student Oriented Components (Upto Highest Class - VIII) (Block Level)  (Recurring),199.5,Environment Building programme,,
638,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),199,Student Oriented Components (Upto Highest Class - VIII) (Block Level)  (Recurring),199.6,Helper/Ayas/Attendant,,
639,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),200,Student Oriented Components (Upto Highest Class - VIII) (Student Specific)  (Recurring),200.3,Escort Allowance,,
640,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),200,Student Oriented Components (Upto Highest Class - VIII) (Student Specific)  (Recurring),200.4,Transport Allowance,,
641,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),200,Student Oriented Components (Upto Highest Class - VIII) (Student Specific)  (Recurring),200.5,Home Based Education,,
642,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),200,Student Oriented Components (Upto Highest Class - VIII) (Student Specific)  (Recurring),200.6,"Braille Stationary Material (Inc. Embossed Charts, globes etc)",,
643,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),200,Student Oriented Components (Upto Highest Class - VIII) (Student Specific)  (Recurring),200.7,Providing Aids & Appliances,,
644,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),200,Student Oriented Components (Upto Highest Class - VIII) (Student Specific)  (Recurring),200.8,Reader Allowance- For only VI and Low vision,,
645,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),201,Stipend for Girls (Upto Highest Class - VIII)  (Recurring),201.1,Stipend for Girls,Upto Rs. 200 per month for 10 months,
646,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),206,Identification & Assessment (up to Highest Class VIII),206.1,Identification and Assessment (Medical Assessment Camps) (Upto Highest Class VIII),Upto Rs. 10000 /- per camp,
647,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),208,Capacity Building of Special Educators  (up to Highest Class VIII),208.1,In-service Training of Special Educators  (Upto Highest Class VIII),Upto Rs. 500/- per day per teacher (as per existing In-Service Training Norms),
648,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),210,Resource Support towards Salary (Upto Highest Class VIII) (Recurring),210.1,Financial Support (Previous Spl. Educators),"upto Rs.20,000 per month ",
649,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),210,Resource Support towards Salary (Upto Highest Class VIII) (Recurring),210.2,Financial Support (New Spl. Educators ),"upto Rs.20,000 per month ",
650,Elementary Education,Sports & Physical Education,Sports & Physical Education,123,Sports & Physical Education   (upto Highest Class VIII),123.1,Sports & Physical Education (Primary Schools ),"Up to Rs.5,000. Physical Number Should be proposed per School",
651,Elementary Education,Sports & Physical Education,Sports & Physical Education,123,Sports & Physical Education   (upto Highest Class VIII),123.2,Sports & Physical Education (Upper Primary Schools ),"Up to Rs.10,000 . Physical Number Should be proposed per School",
652,Elementary Education,Monitoring of the Scheme,Monitoring Information System (MIS),219,Monitoring of the Scheme,219.2,Child Tracking System,Upto Rs. 3/- per child,
653,Elementary Education,Monitoring of the Scheme,Monitoring Information System (MIS),219,Monitoring of the Scheme,,Management Information System (Udise +),Upto Rs. 2/- per child,
654,Elementary Education,Monitoring of the Scheme,Monitoring Information System (MIS),219.1,Vidhya Samiksha Kendra (Non-Recurring) (EE/SE/TE),219.10.13,Vidya Samiksha Kendra (Non-Recurring),One time grant already given,
